,rstring,convtime,visited,bestrule
0,185803,15,179,185803
1,30827,6,103,30827
2,185433,4,81,185433
3,66248,5,91,66248
4,181764,8,121,181764
5,183637,13,145,183637
6,50710,5,87,50710
7,228583,10,122,228583
8,42458,9,116,42458
9,106179,11,149,106179
10,45585,8,111,45585
11,239107,9,129,239107
12,183567,7,113,183567
13,30756,6,92,30756
14,239424,13,169,239424
15,104174,12,155,104174
16,81797,16,212,81797
17,47372,6,98,47372
18,202865,14,176,202865
19,186270,13,148,186270
20,100229,9,132,100229
21,85446,9,131,85446
22,120985,10,148,120985
23,112907,8,126,112907
24,63357,17,171,63357
25,124902,16,194,124902
26,34142,10,142,34142
27,255090,8,106,255090
28,20472,6,97,20472
29,13675,7,108,13675
30,135015,9,126,135015
31,41736,10,122,41736
32,126432,9,139,126432
33,212422,11,156,212422
34,205778,13,139,205778
35,85849,15,202,85849
36,101820,11,159,101820
37,145044,10,149,145044
38,116540,11,142,116540
39,21230,12,165,21230
40,180994,4,74,180994
41,181171,9,134,181171
42,121433,7,111,121433
43,233228,9,127,233228
44,119414,9,140,119414
45,11988,10,142,11988
46,16479,5,81,16479
47,55669,6,92,55669
48,146509,12,165,146509
49,189593,10,151,189593
50,58804,10,110,58804
51,92513,11,158,92513
52,176434,8,116,176434
53,161887,6,94,161887
54,122575,5,85,122575
55,144173,9,136,144173
56,111405,9,145,111405
57,253627,7,94,253627
58,232969,13,185,232969
59,103922,8,125,103922
60,242603,11,138,242603
61,182543,11,163,182543
62,73069,11,147,73069
63,186848,6,96,186848
64,115674,11,156,115674
65,61162,17,214,61162
66,67251,11,156,67251
67,169618,8,123,169618
68,163109,7,110,163109
69,141369,5,95,141369
70,235266,8,131,235266
71,47587,7,115,47587
72,127132,10,125,127132
73,229580,14,160,229580
74,235329,6,91,235329
75,176551,13,167,176551
76,219317,11,140,219317
77,243371,7,108,243371
78,85015,10,124,85015
79,221490,7,117,221490
80,249398,6,91,249398
81,97240,16,194,97240
82,14163,14,182,14163
83,176546,7,108,176546
84,109497,10,130,109497
85,187535,9,132,187535
86,40787,15,195,40787
87,132062,9,137,132062
88,85932,11,151,85932
89,72711,6,104,72711
90,105340,5,94,105340
91,97093,7,111,97093
92,136047,11,150,136047
93,148694,13,168,148694
94,150422,13,164,150422
95,75722,8,122,75722
96,142784,7,108,142784
97,55988,9,126,55988
98,144095,9,122,144095
99,215371,15,199,215371
